Rk,Mgr,Tm,W,L,W-L%,Ties,G,Finish,Wpost,Lpost,W-L%post,Challenges,Overturned,Overturn%,Ejections
1,Rocco Baldelli,MIN,70,92,.432,0,162,4.0,,,,38,21,55.3%,4
2,Bud Black,COL,7,33,.175,0,40,5.0,,,,10,7,70.0%,0
3,Bruce Bochy,TEX,81,81,.500,0,162,3.0,,,,48,20,41.7%,3
4,Aaron Boone,NYY,94,68,.580,0,162,2.0,3,4,.429,33,17,51.5%,7
5,Miguel Cairo,WSH,29,43,.403,0,72,5.0,,,,14,8,57.1%,5
6,Kevin Cash,TB,77,85,.475,0,162,4.0,,,,36,15,41.7%,2
7,Alex Cora,BOS,89,73,.549,0,162,3.0,1,2,.333,22,12,54.5%,5
8,Craig Counsell,CHC,92,70,.568,0,162,2.0,4,4,.500,45,25,55.6%,3
9,Joe Espada,HOU,87,75,.537,0,162,2.0,,,,27,19,70.4%,2
10,Terry Francona,CIN,83,79,.512,0,162,3.0,0,2,.000,34,19,55.9%,4
11,A.J. Hinch,DET,87,75,.537,0,162,2.0,4,4,.500,27,12,44.4%,1
12,Brandon Hyde,BAL,15,28,.349,0,43,5.0,,,,15,2,13.3%,1
13,Don Kelly,PIT,59,65,.476,0,124,5.0,,,,30,17,56.7%,4
14,Mark Kotsay,ATH,76,86,.469,0,162,4.0,,,,55,23,41.8%,3
15,Torey Lovullo,ARI,80,82,.494,0,162,4.0,,,,37,27,73.0%,3
16,Tony Mansolino,BAL,60,59,.504,0,119,5.0,,,,21,11,52.4%,1
17,Oliver Marmol,STL,78,84,.481,0,162,4.0,,,,40,24,60.0%,6
18,Dave Martinez,WSH,37,53,.411,0,90,5.0,,,,21,11,52.4%,1
19,Clayton McCullough,MIA,79,83,.488,0,162,3.0,,,,38,17,44.7%,2
20,Bob Melvin,SFG,81,81,.500,0,162,3.0,,,,42,22,52.4%,4
21,Carlos Mendoza,NYM,83,79,.512,0,162,2.0,,,,36,23,63.9%,3
22,Ray Montgomery,LAA,36,52,.409,0,88,5.0,,,,1,0,0.0%,0
23,Pat Murphy,MIL,97,65,.599,0,162,1.0,3,6,.333,24,17,70.8%,2
24,Matt Quatraro,KCR,82,80,.506,0,162,3.0,,,,24,15,62.5%,2
25,Dave Roberts,LAD,93,69,.574,0,162,1.0,13,4,.765,39,23,59.0%,2
26,Warren Schaeffer,COL,36,86,.295,0,122,5.0,,,,19,11,57.9%,2
27,John Schneider,TOR,94,68,.580,0,162,1.0,10,8,.556,41,25,61.0%,4
28,Derek Shelton,PIT,12,26,.316,0,38,5.0,,,,10,4,40.0%,0
29,Mike Shildt,SDP,90,72,.556,0,162,2.0,1,2,.333,28,17,60.7%,5
30,Brian Snitker,ATL,76,86,.469,0,162,4.0,,,,28,17,60.7%,3
31,Rob Thomson,PHI,96,66,.593,0,162,1.0,1,3,.250,30,21,70.0%,1
32,Will Venable,CHW,60,102,.370,0,162,5.0,,,,26,16,61.5%,3
33,Stephen Vogt,CLE,88,74,.543,0,162,1.0,1,2,.333,35,19,54.3%,0
34,Ron Washington,LAA,36,38,.486,0,74,3.0,,,,27,14,51.9%,0
35,Dan Wilson,SEA,90,72,.556,0,162,1.0,6,6,.500,26,15,57.7%,2
,,,2430,2430,.500,0,4860,,47,47,.500,1027,566,55.1%,90
